event_id,event_time,asset,event_type,source,title,ret_1h,ret_4h,ret_24h,ab_btc_4h,ab_btc_24h,label,label_reason
cand_00324,2026-05-19 03:37:15 UTC+8,BTC,institutional_flow,news:cryptonews,Leopold Aschenbrenner bets $13.6b on miners,0.0046,0.0039,0.0017,0.0000,0.0000,noise,no reaction
cand_00275,2026-05-19 04:30:00 UTC+8,XRP,token_unlock,news:cryptonews,XRP price slips 2% on profit taking,-0.0009,0.0027,0.0244,0.0019,0.0219,neutral,mild: raw=2.4%
cand_00484,2026-05-19 00:50:18 UTC+8,ETH,hack_security,webhook,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,0.0046,0.0075,0.0091,0.0013,0.0037,noise,no reaction
cand_00449,2026-05-19 01:19:22 UTC+8,ETH,network_upgrade,webhook,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾,-0.0056,0.0094,0.0090,0.0048,0.0040,noise,no reaction
cand_00193,2026-05-19 06:07:31 UTC+8,BTC,halving,webhook,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wc",-0.0005,0.0065,0.0042,0.0000,0.0000,noise,no reaction
cand_00160,2026-05-19 06:42:26 UTC+8,ETH,staking_governance,webhook,以太坊质押比例上升至31%，长期持有者信心依旧,-0.0004,0.0040,0.0126,0.0002,0.0090,neutral,mild: raw=1.3%
cand_00487,2026-05-19 00:48:55 UTC+8,BTC,other,webhook,Michael Saylor的策略现持有超过4%的比特币总供应量,0.0032,0.0059,0.0047,0.0000,0.0000,noise,no reaction
cand_00419,2026-05-19 01:41:53 UTC+8,BTC,hack_security,news:bitcoinmagazine,White House: Bitcoin Reserve Announcement Is Imminent,-0.0040,0.0056,0.0043,0.0000,0.0000,noise,no reaction
cand_00375,2026-05-19 02:30:00 UTC+8,ETH,hack_security,news:cryptonews,Standard Chartered: $4T tokenized by 2028,0.0079,0.0243,0.0105,0.0140,0.0053,neutral,mild: raw=2.4%
cand_00146,2026-05-19 06:58:05 UTC+8,BTC,institutional_flow,webhook,Delphi Digital：比特币在流动性趋紧背景下表现可能优于多数加密资产,-0.0010,0.0060,0.0047,0.0000,0.0000,noise,no reaction
cand_00124,2026-05-19 07:36:51 UTC+8,ETH,hack_security,webhook,"#PeckShieldAlert @dcfgod reports that @EchoProtocol_ was hacked on @monad 

The ",0.0033,0.0007,0.0071,0.0026,0.0059,noise,no reaction
cand_00117,2026-05-19 07:50:00 UTC+8,ETH,hack_security,webhook,"Exploit Alert 🚨

According to @dcfgod, @EchoProtocol_ on @monad has been exploit",0.0056,0.0022,0.0073,0.0041,0.0058,noise,no reaction
cand_00105,2026-05-19 08:04:35 UTC+8,ETH,hack_security,webhook,链上监测：黑客在Monad平台上铸造1000枚EBTC并洗钱,0.0025,0.0022,0.0083,0.0047,0.0056,noise,no reaction
cand_00094,2026-05-19 08:17:14 UTC+8,ETH,hack_security,webhook,链上监测：过去4天内发生三起重大黑客事件,-0.0011,0.0003,0.0137,0.0042,0.0060,neutral,mild: raw=1.4%
cand_00074,2026-05-19 08:40:15 UTC+8,BTC,institutional_flow,webhook,Santiment：持有至少100 BTC的钱包数量增至20229,-0.0049,0.0035,0.0057,0.0000,0.0000,noise,no reaction
cand_00047,2026-05-19 09:19:01 UTC+8,ETH,hack_security,webhook,Lookonchain：过去4天内发生3起重大黑客攻击事件,-0.0002,0.0016,0.0074,0.0011,0.0063,noise,no reaction
cand_00291,2026-05-19 04:10:27 UTC+8,BTC,network_upgrade,webhook,In 2019 I sincerely questioned myself whether I wanted to continue trading crypt,-0.0020,0.0010,0.0012,0.0000,0.0000,noise,no reaction
cand_00213,2026-05-19 05:45:00 UTC+8,BTC,network_upgrade,news:cryptonews,Shiba Inu sees 3b SHIB hit exchanges,-0.0000,0.0026,0.0002,0.0000,0.0000,noise,no reaction
cand_00187,2026-05-19 06:13:29 UTC+8,BTC,halving,webhook,"JUST IN: There’s now less than 100,000 blocks until the next Bitcoin halving 👀 h",-0.0008,0.0055,0.0046,0.0000,0.0000,noise,no reaction
cand_00178,2026-05-19 06:18:56 UTC+8,BTC,token_unlock,webhook,美国司法部：俄亥俄州居民因加密庞氏骗局被判9年监禁,-0.0017,0.0053,0.0055,0.0000,0.0000,noise,no reaction
cand_00053,2026-05-19 09:11:27 UTC+8,BTC,halving,news:coinpedia,Bitcoin Whales Defy $77K Drop as Large Wallets Surge 11%,-0.0056,0.0029,0.0034,0.0000,0.0000,noise,no reaction
cand_00016,2026-05-19 10:12:50 UTC+8,ETH,staking_governance,webhook,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity",0.0015,0.0055,0.0058,0.0014,0.0069,noise,no reaction
cand_00493,2026-05-19 00:43:00 UTC+8,BTC,macro,webhook,"JUST IN: Strategy $MSTR has generated an 84,987 #Bitcoin gain ($6.6 billion) so ",0.0030,0.0071,0.0042,0.0000,0.0000,noise,no reaction
cand_00456,2026-05-19 01:11:22 UTC+8,ETH,macro,news:coinpedia,Ethereum's Vitalik Buterin Explains How AI Could Make Smart Contracts Truly Secu,-0.0007,0.0081,0.0083,0.0036,0.0035,noise,no reaction
cand_00455,2026-05-19 01:15:00 UTC+8,BTC,macro,webhook,🔥HUGE: White House Executive Director says an announcement on a Strategic Bitcoi,-0.0020,0.0046,0.0051,0.0000,0.0000,noise,no reaction
cand_00400,2026-05-19 02:01:27 UTC+8,XRP,macro,news:coinpaper,Crude Oil Prices: Brent and WTI Rise as Markets Respond to Trump-Xi Trade Talks,0.0022,0.0109,0.0105,0.0048,0.0137,neutral,mild: raw=1.1%
cand_00388,2026-05-19 02:13:48 UTC+8,BTC,macro,news:cryptonews,"Leading AI day trading bots in 2026: Why most fail, and what actually works",0.0024,0.0092,0.0063,0.0000,0.0000,noise,no reaction
cand_00347,2026-05-19 03:10:16 UTC+8,BTC,macro,webhook,Cointelegraph：币安持有超过90亿美元比特币未平仓合约,0.0046,0.0057,0.0040,0.0000,0.0000,noise,no reaction
cand_00339,2026-05-19 03:17:10 UTC+8,BTC,macro,webhook,JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Fr,0.0058,0.0053,0.0043,0.0000,0.0000,noise,no reaction
cand_00329,2026-05-19 03:30:07 UTC+8,SOL,macro,webhook,Messari报告：2026年Q1 Solana链上应用总收入达3.422亿美元,0.0082,0.0099,0.0034,0.0059,0.0048,noise,no reaction
cand_00303,2026-05-19 04:00:00 UTC+8,BTC,macro,news:cryptonews,Kraken parent Payward grows Q1 revenue 3% as derivatives jump 51%,-0.0007,0.0007,0.0018,0.0000,0.0000,noise,no reaction
cand_00304,2026-05-19 04:00:00 UTC+8,BTC,macro,news:cryptonews,Kraken revenue hits $507m in Q1 despite slump,-0.0007,0.0007,0.0018,0.0000,0.0000,noise,no reaction
cand_00141,2026-05-19 07:02:36 UTC+8,BTC,token_unlock,news:jin10,欧盟官员：伊朗冲突阴影下，欧盟将下调经济增长预期并上调通胀预测,-0.0014,0.0068,0.0049,0.0000,0.0000,noise,no reaction
cand_00478,2026-05-19 00:55:05 UTC+8,AVAX,other,webhook,"Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is",0.0033,0.0088,0.0066,0.0012,0.0010,noise,no reaction
cand_00469,2026-05-19 01:03:17 UTC+8,BTC,other,webhook,Michael Saylor的策略现已持有超过4%的比特币总供应量,0.0003,0.0042,0.0055,0.0000,0.0000,noise,no reaction
cand_00457,2026-05-19 01:10:18 UTC+8,SOL,other,webhook,"🔥 UPDATE: Solana’s RWA market just crossed $2.8B, a new all-time high. https://t",-0.0049,0.0050,0.0028,0.0013,0.0011,noise,no reaction
cand_00423,2026-05-19 01:39:01 UTC+8,ETH,other,webhook,"🚨MORE ETHEREUM FOUNDATION RESEARCHERS RESIGN

Ethereum Foundation researchers Ca",-0.0081,0.0143,0.0062,0.0092,0.0018,neutral,mild: raw=1.4%
